Country,Weight_kg,Price_KRW
Indonesia,15.5,75500
Australia,16.0,138500
Brazil,16.0,210500
Canada,16.0,147500
China,16.0,70000
France,16.0,95000
Germany,16.0,125000
Hong Kong,16.0,64500
Indonesia,16.0,77500
Australia,16.5,142500
Brazil,16.5,217000
Canada,16.5,151500
China,16.5,71500
France,16.5,97500
Germany,16.5,128500
Hong Kong,16.5,66000
Indonesia,16.5,79000
Australia,17.0,146500
Brazil,17.0,223000
Canada,17.0,156000
China,17.0,73000
France,17.0,100000
Germany,17.0,132000
Hong Kong,17.0,67500
Indonesia,17.0,81000
Australia,17.5,150500
Brazil,17.5,229500
Canada,17.5,159500
China,17.5,74500
France,17.5,102500
Germany,17.5,135500
Hong Kong,17.5,69000
Indonesia,17.5,83000
Australia,18.0,154500
Brazil,18.0,235500
Canada,18.0,163500
China,18.0,76000
France,18.0,105000
Germany,18.0,139000
Hong Kong,18.0,70500
Indonesia,18.0,85000
Australia,18.5,158500
Brazil,18.5,241500
Canada,18.5,167500
China,18.5,77500
France,18.5,107500
Germany,18.5,142000
Hong Kong,18.5,72000
Indonesia,18.5,87000
Australia,19.0,162000
Brazil,19.0,248000
Canada,19.0,172000
China,19.0,79000
France,19.0,110500
Germany,19.0,145500
Hong Kong,19.0,73500
Indonesia,19.0,89000
Australia,19.5,166000
Brazil,19.5,254000
Canada,19.5,176000
China,19.5,80500
France,19.5,113000
Germany,19.5,149000
Hong Kong,19.5,75000
Indonesia,19.5,90500
Australia,20.0,170000
Brazil,20.0,260500
Canada,20.0,180000
China,20.0,82000
France,20.0,115500
Germany,20.0,152500
Hong Kong,20.0,76500
Indonesia,20.0,92500
Australia,20.5,166000
Brazil,20.5,254000
Canada,20.5,176000
China,20.5,80500
France,20.5,113000
Germany,20.5,149000
Hong Kong,20.5,75000
Indonesia,20.5,90500
Japan,0.5,17000
Malaysia,0.5,16000
New Zealand,0.5,19500
Philippines,0.5,16000
Russia,0.5,26500
Singapore,0.5,16500
Spain,0.5,19500
Taiwan,0.5,14000
Japan,1.0,18000
Malaysia,1.0,19000
New Zealand,1.0,23500
Philippines,1.0,19000
Russia,1.0,31500
Singapore,1.0,18000
Spain,1.0,23000
Taiwan,1.0,16000
Japan,1.5,19500
Malaysia,1.5,21500
New Zealand,1.5,27000
Philippines,1.5,21500
Russia,1.5,36000
Singapore,1.5,19500
Spain,1.5,26500
Taiwan,1.5,18000
Japan,2.0,21000
Malaysia,2.0,24500
New Zealand,2.0,30000
Philippines,2.0,24500
Russia,2.0,41000
Singapore,2.0,21000
Spain,2.0,30000
Taiwan,2.0,20000
Japan,2.5,22500
Malaysia,2.5,25000
New Zealand,2.5,33500
Philippines,2.5,25500
Russia,2.5,45500
Singapore,2.5,25500
Spain,2.5,33500
Taiwan,2.5,20500
Japan,3.0,23500
Malaysia,3.0,27300
New Zealand,3.0,37000
Philippines,3.0,27000
Russia,3.0,50000
Singapore,3.0,26000
Spain,3.0,37000
Taiwan,3.0,22000
Japan,3.5,25000
Malaysia,3.5,29600
New Zealand,3.5,40500
Philippines,3.5,28500
Russia,3.5,55000
Singapore,3.5,26500
Spain,3.5,40500
Taiwan,3.5,23500
Japan,4.0,26000
Malaysia,4.0,31900
New Zealand,4.0,44000
Philippines,4.0,30000
Russia,4.0,59500
Singapore,4.0,27000
Spain,4.0,44000
Taiwan,4.0,25000
Japan,4.5,27500
Malaysia,4.5,34200
New Zealand,4.5,47500
Philippines,4.5,31500
Russia,4.5,64000
Singapore,4.5,28500
Spain,4.5,47000
Taiwan,4.5,26500
Japan,5.0,28500
Malaysia,5.0,36500
New Zealand,5.0,51000
Philippines,5.0,33000
Russia,5.0,69000
Singapore,5.0,30000
Spain,5.0,50500
Taiwan,5.0,28000
Japan,5.5,30000
Malaysia,5.5,38800
New Zealand,5.5,54500
Philippines,5.5,34500
Russia,5.5,73500
Singapore,5.5,31500
Spain,5.5,54000
Taiwan,5.5,29500
Japan,6.0,31500
Malaysia,6.0,41100
New Zealand,6.0,58000
Philippines,6.0,36000
Russia,6.0,78500
Singapore,6.0,33000
Spain,6.0,57500
Taiwan,6.0,31000
Japan,6.5,32500
Malaysia,6.5,43400
New Zealand,6.5,61500
Philippines,6.5,37500
Russia,6.5,83000
Singapore,6.5,34500
Spain,6.5,61000
Taiwan,6.5,32500
Japan,7.0,34000
Malaysia,7.0,45700
New Zealand,7.0,65000
Philippines,7.0,39000
Russia,7.0,87500
Singapore,7.0,36000
Spain,7.0,64500
Taiwan,7.0,34000
Japan,7.5,35000
Malaysia,7.5,48000
New Zealand,7.5,68500
Philippines,7.5,40500
Russia,7.5,92500
Singapore,7.5,37500
Spain,7.5,68000
Taiwan,7.5,35500
Japan,8.0,36500
Malaysia,8.0,50300
New Zealand,8.0,72000
Philippines,8.0,42000
Russia,8.0,97000
Singapore,8.0,39000
Spain,8.0,71500
Taiwan,8.0,37000
Japan,8.5,38000
Malaysia,8.5,52600
New Zealand,8.5,75500
Philippines,8.5,43500
Russia,8.5,102000
Singapore,8.5,40500
Spain,8.5,75000
Taiwan,8.5,38500
Japan,9.0,39000
Malaysia,9.0,54900
New Zealand,9.0,79000
Philippines,9.0,45000
Russia,9.0,106500
Singapore,9.0,42000
Spain,9.0,78500
Taiwan,9.0,40000
Japan,9.5,40500
Malaysia,9.5,57200
New Zealand,9.5,82500
Philippines,9.5,46500
Russia,9.5,111000
Singapore,9.5,43500
Spain,9.5,81500
Taiwan,9.5,41500
Japan,10.0,42000
Malaysia,10.0,59500
New Zealand,10.0,86000
Philippines,10.0,48000
Russia,10.0,116000
Singapore,10.0,44500
Spain,10.0,85000
Taiwan,10.0,43000
Japan,10.5,43000
Malaysia,10.5,61800
New Zealand,10.5,89500
Philippines,10.5,49500
Russia,10.5,120500
Singapore,10.5,46000
Spain,10.5,88500
Taiwan,10.5,44500
Japan,11.0,44500
Malaysia,11.0,64100
New Zealand,11.0,92500
Philippines,11.0,51000
Russia,11.0,125000
Singapore,11.0,48000
Spain,11.0,92000
Taiwan,11.0,46000
Japan,11.5,46000
Malaysia,11.5,66400
New Zealand,11.5,96000
Philippines,11.5,52500
Russia,11.5,129500
Singapore,11.5,49500
Spain,11.5,95500
Taiwan,11.5,47500
Japan,12.0,47000
Malaysia,12.0,68700
New Zealand,12.0,99500
Philippines,12.0,54000
Russia,12.0,134500
Singapore,12.0,50500
Spain,12.0,99000
Taiwan,12.0,49000
Japan,12.5,48500
Malaysia,12.5,71000
New Zealand,12.5,103000
Philippines,12.5,55500
Russia,12.5,139000
Singapore,12.5,52500
Spain,12.5,102500
Taiwan,12.5,50500
Japan,13.0,50000
Malaysia,13.0,73300
New Zealand,13.0,106500
Philippines,13.0,57000
Russia,13.0,144000
Singapore,13.0,53500
Spain,13.0,106000
Taiwan,13.0,52000
Japan,13.5,51000
Malaysia,13.5,75600
New Zealand,13.5,110000
Philippines,13.5,58500
Russia,13.5,148500
Singapore,13.5,55000
Spain,13.5,109500
Taiwan,13.5,53500
Japan,14.0,52500
Malaysia,14.0,77900
New Zealand,14.0,113500
Philippines,14.0,60000
Russia,14.0,153000
Singapore,14.0,56500
Spain,14.0,113000
Taiwan,14.0,55000
Japan,14.5,54000
Malaysia,14.5,80200
New Zealand,14.5,117000
Philippines,14.5,61500
Russia,14.5,158000
Singapore,14.5,58000
Spain,14.5,116500
Taiwan,14.5,56500
Japan,15.0,55000
Malaysia,15.0,82500
New Zealand,15.0,120500
Philippines,15.0,63000
Russia,15.0,162500
Singapore,15.0,59500
Spain,15.0,119500
Taiwan,15.0,58000
Japan,15.5,56500
Malaysia,15.5,84800
New Zealand,15.5,124000
Philippines,15.5,64500
Russia,15.5,167000
Singapore,15.5,61000
Spain,15.5,123000
Taiwan,15.5,59500
Japan,16.0,57500
Malaysia,16.0,87100
New Zealand,16.0,127500
Philippines,16.0,66000
Russia,16.0,172000
Singapore,16.0,62500
Spain,16.0,126500
Taiwan,16.0,61000
Japan,16.5,59000
Malaysia,16.5,89400
New Zealand,16.5,131000
Philippines,16.5,67500
Russia,16.5,176500
Singapore,16.5,64000
Spain,16.5,130000
Taiwan,16.5,62500
Japan,17.0,60500
Malaysia,17.0,91700
New Zealand,17.0,134500
Philippines,17.0,69000
Russia,17.0,181000
Singapore,17.0,65500
Spain,17.0,133500
Taiwan,17.0,64000
Japan,17.5,61500
Malaysia,17.5,94000
New Zealand,17.5,138000
Philippines,17.5,70500
Russia,17.5,186000
Singapore,17.5,67000
Spain,17.5,137000
Taiwan,17.5,65500
Japan,18.0,63000
Malaysia,18.0,96300
New Zealand,18.0,141500
Philippines,18.0,72000
Russia,18.0,190500
Singapore,18.0,68500
Spain,18.0,140000
Taiwan,18.0,67000
Japan,18.5,64500
Malaysia,18.5,98600
New Zealand,18.5,144500
Philippines,18.5,73500
Russia,18.5,195500
